1	2	1	2	2	3	2	1	2	3	1	1	1	3	2	6	1	5	2	4	1	5	2	5	6	5	6	2	6	6	5	5	6	6	6	5	6	5	2	5	3	1	1	1	1	7	1	1	3	1	1	7	1	1	1	7	2	1	2	2	2	3	6	1	4	2	2	2	1	2	4	5	3	1	2	2	2	6	4	2	80	90	100	95	5	5	3	7	7	7	4	4	4	6	6	6	2	6	7	5	6	5	3	1	3	9	4	4	6	7	4	7	366	282	-999
5	7	6	7	6	3	3	3	7	7	2	2	1	2	6	7	6	7	7	6	5	4	6	1	4	4	2	2	6	5	4	4	7	4	3	2	6	6	6	4	2	4	2	1	1	6	1	1	2	1	2	7	1	1	2	7	2	2	2	5	1	4	7	2	6	5	3	6	2	2	6	7	7	2	5	4	7	6	6	7	100	85	100	95	5	5	7	7	7	7	6	6	4	6	6	6	7	7	7	7	6	5	5	1	6	7	9	5	12	11	4	4	358	105	1
2	7	7	6	6	2	3	3	5	7	3	2	3	2	3	7	5	5	7	7	2	5	4	5	5	5	4	4	4	5	4	4	6	6	6	5	3	4	2	2	2	2	2	3	3	5	2	4	3	3	2	7	3	2	2	5	2	2	2	2	3	3	6	2	5	2	5	4	2	4	4	5	5	2	5	4	4	3	5	5	61	82	53	78	6	6	7	7	7	7	6	4	4	6	5	5	7	6	7	6	6	4	8	1	1	7	9	4	11	9	4	8	330	169	4
2	1	1	2	2	1	2	1	4	5	1	1	1	1	1	5	2	2	5	4	1	5	2	2	5	3	6	6	5	5	5	5	7	5	5	3	4	5	5	5	2	2	2	3	2	5	1	2	4	1	2	6	2	1	2	3	1	1	5	2	1	1	3	2	1	1	2	2	1	1	2	6	6	1	2	2	1	7	1	2	79	87	81	89	5	4	4	7	6	7	5	3	2	6	7	6	3	6	6	5	3	4	6	2	4	8	5	1	6	7	5	6	336	143	-999
3	5	3	3	3	5	2	3	5	3	3	2	1	3	5	3	6	7	6	3	3	7	7	5	6	5	6	7	7	5	6	7	7	6	2	5	7	7	5	7	2	3	3	1	3	5	3	5	1	2	2	3	3	3	3	7	3	6	5	2	3	6	5	3	7	5	3	3	3	2	7	5	5	3	6	6	5	5	5	6	78	42	37	100	6	6	6	6	6	6	6	6	3	6	6	6	6	6	7	6	6	6	1	1	4	2	7	6	7	9	6	10	328	207	2
4	7	7	7	7	3	2	3	7	7	1	3	4	7	2	7	6	6	7	7	1	6	6	5	7	5	6	6	6	4	6	3	5	7	6	6	1	7	7	6	1	1	1	3	3	6	1	2	2	2	1	7	4	1	1	5	1	1	5	1	1	1	4	2	1	1	1	1	1	1	1	1	1	1	3	1	1	7	1	1	100	90	70	97	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	5	1	8	1	1	9	7	3	11	4	4	8	382	163	2
3	2	2	3	3	2	3	2	4	2	3	3	2	2	2	6	3	5	5	6	3	5	4	4	4	3	6	5	4	5	4	5	5	6	5	4	5	4	6	5	3	2	2	5	5	3	2	4	4	3	3	5	3	1	2	6	2	3	5	4	2	5	7	7	4	5	6	5	2	5	6	6	7	2	7	7	6	6	6	6	71	71	71	74	4	4	4	7	7	7	5	4	4	5	5	5	6	5	5	5	5	5	4	1	5	9	6	4	8	11	4	10	367	134	4
1	3	5	4	3	1	2	3	3	3	7	1	2	5	6	2	2	6	3	4	2	2	4	2	4	2	5	1	5	2	1	1	6	4	4	5	3	7	4	2	1	2	1	3	2	4	1	4	1	3	1	7	3	1	2	6	6	2	6	2	3	7	5	3	6	6	6	7	2	6	5	1	5	2	3	5	7	6	5	6	85	72	71	85	6	6	6	6	7	6	6	6	6	6	6	6	5	6	6	7	6	5	6	2	4	7	8	6	10	10	5	7	314	94	-999
5	7	7	6	6	3	1	3	7	6	2	3	5	6	5	6	6	7	7	6	3	5	1	1	5	3	6	2	3	6	2	1	6	2	3	3	6	7	5	1	1	5	2	4	5	3	2	5	3	3	1	6	3	1	3	6	5	2	7	6	1	7	5	5	7	5	6	6	2	2	6	6	5	3	5	3	6	7	5	7	10	86	59	100	2	5	5	7	7	7	5	3	5	7	6	7	7	6	7	5	3	5	9	2	7	9	9	6	12	10	7	6	361	75	-999
1	6	5	5	5	2	2	2	5	5	2	1	4	3	2	6	5	6	6	6	1	7	7	7	7	7	7	7	7	6	7	7	6	7	7	7	5	7	6	5	1	2	1	1	2	7	2	1	2	1	1	7	1	1	1	7	1	2	5	5	1	6	7	2	1	6	6	5	2	2	6	6	7	1	6	6	5	7	6	6	100	88	86	90	7	7	5	7	7	7	6	5	5	7	7	7	7	7	6	7	6	7	7	1	4	7	7	2	11	10	4	7	343	91	-999
